iter	Passed	Remaining
201	24031	94936
202	24146	94800
203	24255	94644
204	24380	94548
205	24481	94360
206	24630	94358
207	24743	94217
208	24864	94106
209	24976	93960
210	25110	93897
211	25232	93788
212	25360	93702
213	25471	93555
214	25589	93430
215	25707	93307
216	25812	93137
217	25922	92986
218	26033	92840
219	26155	92731
220	26261	92570
221	26396	92506
222	26512	92378
223	26640	92290
224	26758	92168
225	26880	92058
226	26991	91914
227	27099	91758
228	27227	91669
229	27351	91567
230	27478	91475
231	27600	91367
232	27724	91263
233	27835	91119
234	27952	90993
235	28067	90861
236	28189	90754
237	28309	90637
238	28438	90552
239	28569	90469
240	28704	90402
241	28746	90041
242	28898	90024
243	28958	89723
244	29067	89574
245	29185	89454
246	29295	89310
247	29416	89197
248	29554	89137
249	29671	89014
250	29806	88945
251	29925	88826
252	30041	88699
253	30154	88562
254	30262	88415
255	30375	88277
256	30494	88161
257	30624	88076
258	30755	87990
259	30868	87855
260	30939	87602
261	31060	87490
262	31172	87355
263	31291	87237
264	31408	87114
265	31535	87018
266	31655	86905
267	31792	86835
268	31903	86697
269	32028	86595
270	32134	86443
271	32245	86302
272	32362	86180
273	32478	86054
274	32605	85960
275	32728	85852
276	32856	85758
277	33026	85773
278	33141	85646
279	33252	85506
280	33324	85269
281	33436	85133
282	33574	85064
283	33686	84926
284	33826	84862
285	33863	84540
286	33988	84438
287	34133	84384
288	34243	84247
289	34357	84116
290	34469	83982
291	34587	83861
292	34697	83724
293	34817	83609
294	34951	83527
295	35083	83441
296	35192	83300
297	35308	83176
298	35423	83049
299	35532	82909
300	35656	82803
301	35771	82678
302	35908	82600
303	36026	82481
304	36151	82377
305	36263	82245
306	36379	82119
307	36495	81996
308	36605	81859
309	36733	81762
310	36848	81635
311	36975	81535
312	37094	81418
313	37215	81304
314	37323	81164
315	37443	81048
316	37551	80907
317	37678	80806
318	37800	80696
319	37932	80607
320	38098	80588
321	38220	80476
322	38337	80353
323	38455	80235
324	38575	80118
325	38704	80021
326	38803	79861
327	38923	79746
328	39047	79637
329	39213	79616
330	39330	79492
331	39438	79351
332	39558	79235
333	39665	79094
334	39790	78986
335	39911	78872
336	40086	78864
337	40232	78799
338	40345	78668
339	40459	78538
340	40583	78429
341	40696	78298
342	40816	78182
343	40931	78055
344	41060	77955
345	41178	77835
346	41306	77733
347	41420	77604
348	41543	77492
349	41655	77359
350	41722	77145
351	41847	77038
352	41960	76907
353	42092	76813
354	42209	76689
355	42251	76432
356	42385	76340
357	42507	76228
358	42673	76194
359	42790	76071
360	42904	75944
361	43012	75806
362	43143	75709
363	43252	75572
364	43367	75446
365	43489	75333
366	43640	75270
367	43760	75153
368	43882	75039
369	43996	74912
370	44118	74799
371	44242	74688
372	44369	74584
373	44487	74462
374	44617	74362
375	44730	74234
376	44848	74112
377	44960	73982
378	45076	73859
379	45191	73733
380	45310	73614
381	45436	73507
382	45557	73390
383	45671	73264
384	45786	73138
385	45908	73025
386	46022	72898
387	46142	72781
388	46256	72655
389	46383	72549
390	46507	72437
391	46645	72347
392	46768	72235
393	46905	72144
394	47073	72099
395	47197	71988
396	47310	71859
397	47442	71759
398	47554	71629
